Model,Task,Noise_Type,Noise_Level,Acc_mean,Acc_std,F1_macro_mean,F1_macro_std,AUC_mean,AUC_std,accuracy_gap_mean,accuracy_gap_std,dp_diff_mean,dp_diff_std,worst_group_acc_mean,worst_group_acc_std,best_group_acc_mean,best_group_acc_std,eq_odds_diff_mean,eq_odds_diff_std
Baseline,age,clean,0,0.3660,0.0083,0.3266,0.0091,0.7620,0.0027,0.1231,0.0185,,,0.3069,0.0233,0.4300,0.0117,0.4401,0.0210
Baseline,age,cutout,1,0.3320,0.0048,0.3133,0.0111,0.7591,0.0025,0.1132,0.0226,,,0.2768,0.0199,0.3900,0.0081,0.4388,0.0198
Baseline,age,cutout,2,0.3226,0.0104,0.2848,0.0103,0.7562,0.0025,0.1312,0.0254,,,0.2597,0.0123,0.3909,0.0217,0.4466,0.0217
Baseline,age,cutout,3,0.3158,0.0080,0.2927,0.0043,0.7570,0.0032,0.0987,0.0392,,,0.2692,0.0219,0.3679,0.0294,0.4367,0.0312
Baseline,age,defocus,1,0.3060,0.0188,0.2194,0.0082,0.6851,0.0026,0.0841,0.0248,,,0.2712,0.0182,0.3553,0.0212,0.3481,0.0234
Baseline,age,defocus,2,0.2534,0.0125,0.1612,0.0147,0.6041,0.0088,0.0904,0.0243,,,0.2191,0.0120,0.3095,0.0289,0.3298,0.0550
Baseline,age,defocus,3,0.2374,0.0177,0.1393,0.0182,0.5937,0.0087,0.0999,0.0145,,,0.1930,0.0147,0.2929,0.0182,0.2724,0.0735
Baseline,age,gaussian,1,0.2748,0.0141,0.1895,0.0090,0.6791,0.0033,0.0972,0.0108,,,0.2236,0.0101,0.3208,0.0084,0.3276,0.0321
Baseline,age,gaussian,2,0.2380,0.0191,0.1530,0.0134,0.6103,0.0065,0.0856,0.0170,,,0.1973,0.0278,0.2829,0.0161,0.3059,0.0113
Baseline,age,gaussian,3,0.2332,0.0137,0.1192,0.0064,0.5631,0.0042,0.0788,0.0300,,,0.1896,0.0278,0.2684,0.0098,0.1698,0.0314
Baseline,age,glass,1,0.3324,0.0065,0.2838,0.0187,0.7424,0.0013,0.1355,0.0213,,,0.2712,0.0122,0.4067,0.0137,0.3784,0.0284
Baseline,age,glass,2,0.2962,0.0100,0.2392,0.0109,0.6921,0.0055,0.1658,0.0243,,,0.2328,0.0197,0.3986,0.0117,0.3782,0.0476
Baseline,age,glass,3,0.2734,0.0115,0.1795,0.0119,0.6628,0.0035,0.1211,0.0365,,,0.2232,0.0186,0.3443,0.0309,0.3112,0.0377
Baseline,age,impulse,1,0.2004,0.0226,0.1298,0.0089,0.6123,0.0106,0.1173,0.0679,,,0.1464,0.0316,0.2637,0.0431,0.3069,0.0406
Baseline,age,impulse,2,0.1774,0.0168,0.1156,0.0173,0.5744,0.0077,0.0855,0.0345,,,0.1367,0.0346,0.2222,0.0121,0.2838,0.0842
Baseline,age,impulse,3,0.1782,0.0244,0.1068,0.0126,0.5519,0.0017,0.0851,0.0088,,,0.1304,0.0204,0.2156,0.0251,0.2496,0.0845
Baseline,age,jpeg,1,0.3656,0.0084,0.3266,0.0099,0.7620,0.0027,0.1246,0.0163,,,0.3068,0.0232,0.4314,0.0108,0.4395,0.0165
Baseline,age,jpeg,2,0.2522,0.0084,0.2342,0.0080,0.7062,0.0037,0.0993,0.0393,,,0.2089,0.0217,0.3082,0.0241,0.3589,0.0191
Baseline,age,jpeg,3,0.1892,0.0167,0.1544,0.0216,0.6640,0.0051,0.1050,0.0287,,,0.1378,0.0174,0.2429,0.0290,0.3604,0.0247
Baseline,age,shot,1,0.2828,0.0189,0.1898,0.0087,0.6717,0.0045,0.0971,0.0190,,,0.2241,0.0293,0.3212,0.0175,0.3266,0.0164
Baseline,age,shot,2,0.2510,0.0203,0.1486,0.0068,0.6170,0.0066,0.0797,0.0098,,,0.2087,0.0268,0.2884,0.0212,0.2917,0.0162
Baseline,age,shot,3,0.2444,0.0142,0.1314,0.0067,0.5671,0.0018,0.0820,0.0154,,,0.1998,0.0172,0.2818,0.0127,0.2594,0.0205
Baseline,gender,clean,0,0.7582,0.0101,0.7559,0.0101,0.8487,0.0042,0.1453,0.0273,0.2777,0.0302,0.6849,0.0162,0.8301,0.0149,0.2028,0.0196
Baseline,gender,cutout,1,0.7454,0.0101,0.7451,0.0099,0.8431,0.0066,0.1864,0.0279,0.3082,0.0265,0.6358,0.0296,0.8222,0.0134,0.2670,0.0219
Baseline,gender,cutout,2,0.7500,0.0080,0.7495,0.0077,0.8434,0.0048,0.1279,0.0223,0.2998,0.0212,0.6731,0.0170,0.8010,0.0119,0.2418,0.0231
Baseline,gender,cutout,3,0.7508,0.0087,0.7504,0.0087,0.8450,0.0042,0.1641,0.0296,0.2493,0.0213,0.6582,0.0265,0.8224,0.0107,0.2246,0.0084
Baseline,gender,defocus,1,0.7016,0.0088,0.6978,0.0090,0.7769,0.0052,0.1395,0.0237,0.2438,0.0282,0.6209,0.0162,0.7604,0.0119,0.1992,0.0240
Baseline,gender,defocus,2,0.6434,0.0115,0.6378,0.0140,0.6985,0.0078,0.1148,0.0320,0.1636,0.0361,0.5846,0.0193,0.6994,0.0151,0.1729,0.0193
Baseline,gender,defocus,3,0.6072,0.0086,0.5986,0.0151,0.6448,0.0098,0.1450,0.0373,0.1419,0.0215,0.5344,0.0183,0.6795,0.0244,0.1967,0.0369
Baseline,gender,gaussian,1,0.6466,0.0098,0.6438,0.0076,0.7077,0.0041,0.0855,0.0152,0.1832,0.0144,0.5986,0.0097,0.6841,0.0099,0.1871,0.0106
Baseline,gender,gaussian,2,0.6238,0.0183,0.6174,0.0148,0.6745,0.0106,0.1647,0.0553,0.2094,0.0544,0.5360,0.0494,0.7007,0.0169,0.2364,0.0418
Baseline,gender,gaussian,3,0.6014,0.0101,0.5753,0.0216,0.6404,0.0086,0.1709,0.0238,0.1516,0.0251,0.5235,0.0262,0.6944,0.0215,0.2356,0.0533
Baseline,gender,glass,1,0.7414,0.0055,0.7401,0.0057,0.8277,0.0048,0.1450,0.0257,0.2809,0.0207,0.6496,0.0199,0.7947,0.0114,0.2409,0.0196
Baseline,gender,glass,2,0.6966,0.0101,0.6962,0.0101,0.7692,0.0093,0.0917,0.0324,0.3298,0.0275,0.6467,0.0238,0.7383,0.0157,0.2669,0.0140
Baseline,gender,glass,3,0.6630,0.0089,0.6571,0.0086,0.7261,0.0054,0.1477,0.0276,0.2153,0.0441,0.6106,0.0179,0.7583,0.0225,0.1784,0.0486
Baseline,gender,impulse,1,0.5752,0.0193,0.5461,0.0325,0.7031,0.0108,0.1947,0.0263,0.1423,0.0251,0.4522,0.0364,0.6468,0.0174,0.1716,0.0193
Baseline,gender,impulse,2,0.5788,0.0110,0.5724,0.0155,0.6469,0.0110,0.0927,0.0225,0.1588,0.0305,0.5250,0.0157,0.6177,0.0120,0.1668,0.0293
Baseline,gender,impulse,3,0.5834,0.0097,0.5802,0.0103,0.6056,0.0112,0.1007,0.0259,0.1468,0.0251,0.5250,0.0317,0.6257,0.0134,0.1941,0.0253
Baseline,gender,jpeg,1,0.7582,0.0106,0.7559,0.0107,0.8485,0.0042,0.1435,0.0278,0.2760,0.0335,0.6849,0.0162,0.8284,0.0171,0.2015,0.0217
Baseline,gender,jpeg,2,0.7108,0.0066,0.6926,0.0072,0.8086,0.0050,0.1585,0.0322,0.1481,0.0268,0.6276,0.0239,0.7861,0.0099,0.1312,0.0342
Baseline,gender,jpeg,3,0.6726,0.0125,0.6595,0.0136,0.7381,0.0102,0.1490,0.0090,0.1355,0.0507,0.5867,0.0082,0.7357,0.0105,0.1596,0.0296
Baseline,gender,shot,1,0.6522,0.0136,0.6510,0.0143,0.7281,0.0072,0.0874,0.0219,0.2028,0.0444,0.6121,0.0189,0.6995,0.0223,0.2005,0.0340
Baseline,gender,shot,2,0.6262,0.0267,0.6218,0.0315,0.6891,0.0114,0.1301,0.0349,0.1946,0.0345,0.5512,0.0399,0.6813,0.0194,0.2114,0.0335
Baseline,gender,shot,3,0.6092,0.0135,0.5946,0.0162,0.6608,0.0105,0.1449,0.0313,0.1986,0.0206,0.5212,0.0325,0.6661,0.0167,0.2459,0.0397
Baseline,race,clean,0,0.3770,0.0082,0.3601,0.0101,0.7591,0.0007,0.0521,0.0268,,,0.3525,0.0155,0.4047,0.0160,0.0881,0.0138
Baseline,race,cutout,1,0.3892,0.0052,0.3760,0.0085,0.7604,0.0020,0.0332,0.0163,,,0.3736,0.0075,0.4068,0.0116,0.0933,0.0252
Baseline,race,cutout,2,0.3918,0.0022,0.3808,0.0041,0.7602,0.0011,0.0219,0.0123,,,0.3815,0.0070,0.4034,0.0059,0.0837,0.0189
Baseline,race,cutout,3,0.3848,0.0090,0.3760,0.0094,0.7587,0.0019,0.0607,0.0282,,,0.3563,0.0175,0.4171,0.0159,0.0927,0.0171
Baseline,race,defocus,1,0.3474,0.0070,0.3176,0.0075,0.7276,0.0012,0.0541,0.0170,,,0.3220,0.0121,0.3761,0.0096,0.0646,0.0123
Baseline,race,defocus,2,0.2828,0.0041,0.2281,0.0137,0.6638,0.0031,0.0392,0.0284,,,0.2644,0.0145,0.3036,0.0150,0.0481,0.0052
Baseline,race,defocus,3,0.2682,0.0091,0.1870,0.0133,0.6423,0.0024,0.0405,0.0213,,,0.2487,0.0150,0.2892,0.0144,0.0548,0.0169
Baseline,race,gaussian,1,0.2788,0.0053,0.2477,0.0104,0.6686,0.0055,0.0098,0.0084,,,0.2742,0.0078,0.2840,0.0054,0.0705,0.0149
Baseline,race,gaussian,2,0.2474,0.0113,0.2272,0.0099,0.6336,0.0021,0.0220,0.0197,,,0.2368,0.0166,0.2588,0.0130,0.0559,0.0149
Baseline,race,gaussian,3,0.1918,0.0180,0.1745,0.0228,0.5900,0.0051,0.0289,0.0147,,,0.1779,0.0231,0.2067,0.0139,0.0568,0.0108
Baseline,race,glass,1,0.3764,0.0134,0.3607,0.0133,0.7505,0.0021,0.0637,0.0108,,,0.3465,0.0142,0.4102,0.0147,0.0740,0.0094
Baseline,race,glass,2,0.3444,0.0052,0.3231,0.0037,0.7164,0.0022,0.0597,0.0249,,,0.3164,0.0128,0.3761,0.0142,0.0827,0.0096
Baseline,race,glass,3,0.3250,0.0029,0.3017,0.0042,0.6956,0.0034,0.0601,0.0205,,,0.2968,0.0111,0.3569,0.0101,0.0741,0.0056
Baseline,race,impulse,1,0.2346,0.0136,0.2218,0.0117,0.6328,0.0041,0.0211,0.0157,,,0.2240,0.0126,0.2450,0.0190,0.0623,0.0105
Baseline,race,impulse,2,0.2144,0.0183,0.2000,0.0206,0.6141,0.0050,0.0254,0.0206,,,0.2014,0.0215,0.2268,0.0214,0.0408,0.0090
Baseline,race,impulse,3,0.1824,0.0096,0.1605,0.0124,0.5933,0.0061,0.0324,0.0114,,,0.1658,0.0137,0.1982,0.0100,0.0577,0.0197
Baseline,race,jpeg,1,0.3764,0.0087,0.3593,0.0105,0.7591,0.0007,0.0517,0.0274,,,0.3522,0.0165,0.4038,0.0158,0.0893,0.0134
Baseline,race,jpeg,2,0.3386,0.0105,0.2993,0.0168,0.7084,0.0026,0.0281,0.0179,,,0.3237,0.0144,0.3518,0.0131,0.0569,0.0207
Baseline,race,jpeg,3,0.2804,0.0126,0.2170,0.0243,0.6543,0.0022,0.0333,0.0256,,,0.2648,0.0217,0.2981,0.0123,0.0439,0.0082
Baseline,race,shot,1,0.2902,0.0117,0.2629,0.0108,0.6775,0.0065,0.0139,0.0105,,,0.2834,0.0088,0.2973,0.0161,0.0626,0.0177
Baseline,race,shot,2,0.2692,0.0081,0.2504,0.0073,0.6457,0.0043,0.0142,0.0091,,,0.2625,0.0117,0.2768,0.0055,0.0537,0.0127
Baseline,race,shot,3,0.1976,0.0086,0.1830,0.0132,0.5912,0.0065,0.0242,0.0170,,,0.1863,0.0089,0.2104,0.0148,0.0488,0.0138
Ours,age,clean,0,0.3160,0.0057,0.2845,0.0060,0.7389,0.0027,0.1205,0.0182,,,0.2581,0.0097,0.3787,0.0194,0.4321,0.0124
Ours,age,cutout,1,0.3642,0.0063,0.2748,0.0113,0.7932,0.0044,0.1164,0.0191,,,0.3222,0.0142,0.4386,0.0120,0.4043,0.0414
Ours,age,cutout,2,0.3784,0.0097,0.2823,0.0106,0.7985,0.0038,0.1493,0.0154,,,0.3021,0.0113,0.4514,0.0093,0.4554,0.0247
Ours,age,cutout,3,0.3698,0.0113,0.2707,0.0108,0.7951,0.0038,0.1617,0.0236,,,0.3026,0.0185,0.4643,0.0134,0.4270,0.0419
Ours,age,defocus,1,0.2836,0.0035,0.2197,0.0095,0.6787,0.0044,0.0940,0.0220,,,0.2363,0.0209,0.3303,0.0070,0.3534,0.0338
Ours,age,defocus,2,0.2672,0.0033,0.1940,0.0078,0.6297,0.0045,0.1560,0.0298,,,0.2140,0.0148,0.3700,0.0211,0.3827,0.0429
Ours,age,defocus,3,0.2736,0.0049,0.2018,0.0054,0.6381,0.0063,0.1714,0.0163,,,0.2172,0.0056,0.3886,0.0164,0.3767,0.0270
Ours,age,gaussian,1,0.2978,0.0149,0.2465,0.0120,0.6971,0.0054,0.1229,0.0504,,,0.2558,0.0282,0.3787,0.0250,0.3514,0.0595
Ours,age,gaussian,2,0.3048,0.0077,0.2477,0.0071,0.6650,0.0032,0.0909,0.0162,,,0.2663,0.0065,0.3571,0.0101,0.3534,0.0282
Ours,age,gaussian,3,0.2740,0.0116,0.1819,0.0075,0.6395,0.0053,0.1190,0.0181,,,0.2151,0.0133,0.3342,0.0218,0.2963,0.0127
Ours,age,glass,1,0.3174,0.0073,0.2668,0.0145,0.7331,0.0042,0.1403,0.0222,,,0.2476,0.0221,0.3879,0.0167,0.4116,0.0267
Ours,age,glass,2,0.3084,0.0047,0.2352,0.0139,0.7078,0.0034,0.1490,0.0395,,,0.2377,0.0246,0.3867,0.0157,0.3475,0.0196
Ours,age,glass,3,0.2746,0.0122,0.2191,0.0107,0.6648,0.0039,0.1466,0.0167,,,0.2177,0.0174,0.3643,0.0231,0.3534,0.0468
Ours,age,impulse,1,0.2956,0.0131,0.1862,0.0184,0.6897,0.0039,0.1193,0.0334,,,0.2442,0.0273,0.3635,0.0157,0.2936,0.0163
Ours,age,impulse,2,0.2714,0.0088,0.1709,0.0147,0.6577,0.0023,0.0822,0.0214,,,0.2305,0.0221,0.3127,0.0203,0.2844,0.0407
Ours,age,impulse,3,0.2744,0.0082,0.1597,0.0065,0.6307,0.0021,0.0881,0.0347,,,0.2230,0.0162,0.3111,0.0232,0.2158,0.0190
Ours,age,jpeg,1,0.3164,0.0060,0.2848,0.0064,0.7389,0.0027,0.1205,0.0182,,,0.2581,0.0097,0.3787,0.0194,0.4325,0.0130
Ours,age,jpeg,2,0.2860,0.0037,0.2464,0.0062,0.7082,0.0025,0.1055,0.0299,,,0.2454,0.0149,0.3509,0.0179,0.4045,0.0259
Ours,age,jpeg,3,0.2698,0.0072,0.2271,0.0071,0.6750,0.0046,0.1131,0.0342,,,0.2086,0.0244,0.3217,0.0108,0.3587,0.0492
Ours,age,shot,1,0.3062,0.0063,0.2567,0.0072,0.6897,0.0032,0.1495,0.0403,,,0.2562,0.0144,0.4057,0.0333,0.4158,0.0299
Ours,age,shot,2,0.2910,0.0096,0.2221,0.0072,0.6641,0.0057,0.0978,0.0108,,,0.2427,0.0080,0.3405,0.0124,0.3392,0.0233
Ours,age,shot,3,0.2982,0.0081,0.1909,0.0148,0.6439,0.0066,0.1009,0.0362,,,0.2472,0.0219,0.3481,0.0154,0.2932,0.0105
Ours,gender,clean,0,0.7726,0.0033,0.7711,0.0033,0.8553,0.0026,0.1788,0.0102,0.2377,0.0192,0.6881,0.0111,0.8669,0.0137,0.2219,0.0112
Ours,gender,cutout,1,0.7954,0.0044,0.7913,0.0046,0.8781,0.0027,0.1697,0.0244,0.2532,0.0195,0.7075,0.0207,0.8771,0.0072,0.2105,0.0229
Ours,gender,cutout,2,0.7864,0.0025,0.7829,0.0029,0.8760,0.0026,0.1695,0.0111,0.2940,0.0164,0.6881,0.0111,0.8575,0.0097,0.2379,0.0078
Ours,gender,cutout,3,0.7764,0.0040,0.7725,0.0043,0.8679,0.0033,0.1481,0.0212,0.2720,0.0182,0.6851,0.0144,0.8331,0.0082,0.2464,0.0186
Ours,gender,defocus,1,0.7098,0.0055,0.7072,0.0060,0.7800,0.0045,0.1262,0.0121,0.2053,0.0218,0.6388,0.0125,0.7650,0.0111,0.1685,0.0058
Ours,gender,defocus,2,0.6736,0.0046,0.6710,0.0061,0.7341,0.0045,0.0661,0.0384,0.1840,0.0392,0.6413,0.0291,0.7075,0.0131,0.1454,0.0473
Ours,gender,defocus,3,0.6590,0.0054,0.6526,0.0070,0.7178,0.0065,0.0640,0.0250,0.1769,0.0447,0.6319,0.0144,0.6959,0.0159,0.1528,0.0418
Ours,gender,gaussian,1,0.6956,0.0060,0.6916,0.0062,0.7656,0.0046,0.0949,0.0164,0.2839,0.0159,0.6468,0.0039,0.7417,0.0155,0.2634,0.0146
Ours,gender,gaussian,2,0.6686,0.0092,0.6657,0.0092,0.7296,0.0061,0.1070,0.0177,0.2445,0.0148,0.6033,0.0121,0.7102,0.0135,0.2452,0.0284
Ours,gender,gaussian,3,0.6596,0.0087,0.6526,0.0102,0.7092,0.0045,0.1406,0.0406,0.1615,0.0346,0.5810,0.0292,0.7216,0.0188,0.1862,0.0205
Ours,gender,glass,1,0.7656,0.0052,0.7643,0.0051,0.8422,0.0029,0.1718,0.0194,0.1953,0.0300,0.6821,0.0099,0.8539,0.0113,0.1877,0.0260
Ours,gender,glass,2,0.7248,0.0070,0.7216,0.0076,0.7996,0.0029,0.1676,0.0172,0.2196,0.0299,0.6463,0.0234,0.8139,0.0258,0.1910,0.0125
Ours,gender,glass,3,0.6870,0.0071,0.6842,0.0068,0.7546,0.0032,0.1243,0.0209,0.2115,0.0146,0.6255,0.0209,0.7498,0.0166,0.1682,0.0210
Ours,gender,impulse,1,0.6838,0.0041,0.6835,0.0041,0.7609,0.0024,0.1437,0.0210,0.2199,0.0182,0.5902,0.0093,0.7339,0.0161,0.2275,0.0186
Ours,gender,impulse,2,0.6580,0.0050,0.6574,0.0049,0.7249,0.0058,0.0693,0.0162,0.2093,0.0384,0.6211,0.0073,0.6904,0.0144,0.1925,0.0334
Ours,gender,impulse,3,0.6516,0.0063,0.6510,0.0060,0.7049,0.0055,0.1633,0.0177,0.1718,0.0358,0.5675,0.0089,0.7308,0.0092,0.2330,0.0242
Ours,gender,jpeg,1,0.7728,0.0034,0.7713,0.0034,0.8555,0.0026,0.1788,0.0102,0.2377,0.0192,0.6881,0.0111,0.8669,0.0137,0.2219,0.0112
Ours,gender,jpeg,2,0.7420,0.0066,0.7404,0.0063,0.8156,0.0013,0.0969,0.0163,0.2153,0.0299,0.6860,0.0098,0.7829,0.0087,0.1521,0.0331
Ours,gender,jpeg,3,0.6870,0.0095,0.6863,0.0093,0.7548,0.0051,0.1126,0.0289,0.1758,0.0229,0.6269,0.0197,0.7395,0.0207,0.1677,0.0366
Ours,gender,shot,1,0.7046,0.0047,0.7015,0.0050,0.7790,0.0017,0.1004,0.0224,0.2517,0.0293,0.6470,0.0135,0.7474,0.0105,0.2300,0.0284
Ours,gender,shot,2,0.6852,0.0083,0.6819,0.0079,0.7425,0.0025,0.1484,0.0275,0.2043,0.0082,0.6073,0.0251,0.7557,0.0107,0.2192,0.0285
Ours,gender,shot,3,0.6566,0.0071,0.6525,0.0054,0.7094,0.0029,0.2150,0.0216,0.2243,0.0077,0.5317,0.0109,0.7467,0.0246,0.2968,0.0144
Ours,race,clean,0,0.4138,0.0087,0.4009,0.0101,0.7516,0.0018,0.0423,0.0055,,,0.3940,0.0091,0.4362,0.0091,0.0554,0.0089
Ours,race,cutout,1,0.4372,0.0054,0.4173,0.0031,0.7943,0.0005,0.0520,0.0030,,,0.4128,0.0066,0.4648,0.0043,0.0788,0.0065
Ours,race,cutout,2,0.4304,0.0060,0.4052,0.0046,0.7897,0.0005,0.0287,0.0167,,,0.4169,0.0112,0.4456,0.0092,0.0872,0.0075
Ours,race,cutout,3,0.4270,0.0102,0.4026,0.0137,0.7823,0.0014,0.0608,0.0149,,,0.3985,0.0105,0.4593,0.0147,0.0841,0.0083
Ours,race,defocus,1,0.3518,0.0081,0.3423,0.0066,0.7110,0.0024,0.0329,0.0104,,,0.3363,0.0107,0.3693,0.0082,0.0618,0.0178
Ours,race,defocus,2,0.3188,0.0068,0.3084,0.0045,0.6804,0.0017,0.0477,0.0261,,,0.2964,0.0126,0.3441,0.0167,0.0765,0.0220
Ours,race,defocus,3,0.2954,0.0059,0.2891,0.0063,0.6587,0.0029,0.0136,0.0075,,,0.2885,0.0067,0.3020,0.0071,0.0765,0.0129
Ours,race,gaussian,1,0.3514,0.0146,0.3345,0.0146,0.6989,0.0038,0.0086,0.0094,,,0.3473,0.0151,0.3559,0.0157,0.0386,0.0128
Ours,race,gaussian,2,0.3338,0.0095,0.3111,0.0099,0.6823,0.0025,0.0085,0.0048,,,0.3295,0.0078,0.3381,0.0115,0.0551,0.0106
Ours,race,gaussian,3,0.2868,0.0059,0.2597,0.0054,0.6500,0.0018,0.0261,0.0119,,,0.2729,0.0103,0.2991,0.0062,0.0670,0.0082
Ours,race,glass,1,0.3980,0.0049,0.3868,0.0068,0.7477,0.0034,0.0407,0.0123,,,0.3789,0.0064,0.4196,0.0092,0.0462,0.0108
Ours,race,glass,2,0.3630,0.0067,0.3476,0.0058,0.7172,0.0038,0.0729,0.0100,,,0.3288,0.0097,0.4017,0.0065,0.0913,0.0167
Ours,race,glass,3,0.3258,0.0065,0.3138,0.0087,0.6886,0.0014,0.0369,0.0112,,,0.3085,0.0056,0.3454,0.0110,0.0613,0.0079
Ours,race,impulse,1,0.3512,0.0036,0.3235,0.0058,0.7178,0.0022,0.0240,0.0148,,,0.3399,0.0066,0.3639,0.0097,0.0692,0.0067
Ours,race,impulse,2,0.3224,0.0068,0.2903,0.0052,0.6961,0.0036,0.0201,0.0065,,,0.3130,0.0041,0.3330,0.0102,0.0550,0.0060
Ours,race,impulse,3,0.3046,0.0069,0.2612,0.0044,0.6787,0.0046,0.0126,0.0050,,,0.2987,0.0062,0.3113,0.0085,0.0445,0.0088
Ours,race,jpeg,1,0.4134,0.0081,0.4005,0.0095,0.7515,0.0018,0.0406,0.0056,,,0.3944,0.0087,0.4350,0.0084,0.0547,0.0101
Ours,race,jpeg,2,0.3580,0.0042,0.3431,0.0050,0.7141,0.0023,0.0085,0.0114,,,0.3535,0.0087,0.3620,0.0052,0.0657,0.0122
Ours,race,jpeg,3,0.2958,0.0124,0.2833,0.0124,0.6680,0.0047,0.0033,0.0041,,,0.2941,0.0121,0.2974,0.0130,0.0561,0.0193
Ours,race,shot,1,0.3586,0.0071,0.3417,0.0059,0.7083,0.0023,0.0095,0.0100,,,0.3539,0.0079,0.3634,0.0094,0.0577,0.0070
Ours,race,shot,2,0.3272,0.0109,0.2982,0.0096,0.6882,0.0031,0.0088,0.0029,,,0.3228,0.0103,0.3316,0.0113,0.0412,0.0034
Ours,race,shot,3,0.3052,0.0033,0.2736,0.0016,0.6518,0.0051,0.0165,0.0157,,,0.2975,0.0084,0.3139,0.0087,0.0495,0.0122
